topology,links,nodes,flows,avg,into sol,into time,into gap,vrp sol,vrp time,vrp gap,lower sol,lower time,lower gap,relax sol,relax time,relax gap,ctr sol,ctr time,ctr gap,h sol,h time,h gap
zoo_90_1980,174,90,1980,5.767676768,56,441.3,0,,,,56,2.05,0,45,0.76,19.64,66,0.12,15.15%,66,0.033,15.15%
zoo_95_433,145,83,433,6.263279446,49,37.68,0,,,,47,0.43,4.08,38,0.16,22.44,59,0.01,16.95%,59,0.008,16.95%
zoo_95_865,146,84,865,6.865895954,42,69.6,0,,,,41,1.14,2.38,38,0.34,9.52,56,0.04,25.00%,58,0.016,27.59%
zoo_95_904,135,90,904,5.724557522,44,61.45,0,,,,44,1.09,0,43,0.28,2.27,57,0.03,22.81%,53,0.013,16.98%
zoo_95_1297,154,87,1297,6.938319198,46,584.03,0,,,,45,2.24,2.17,40,0.6,13.04,60,0.06,23.33%,56,0.026,17.86%
zoo_95_1729,160,92,1729,7.097744361,48,252.92,0,,,,48,4.09,0,45,0.76,6.25,63,0.10,23.81%,57,0.034,15.79%
zoo_96_396,117,78,396,5.446969697,41,4.36,0,,,,40,0.19,2.43,34,0.11,17.07,50,0.01,18.00%,47,0.005,12.77%
zoo_96_452,143,82,452,5.865044248,52,12.26,0,,,,50,0.34,3.84,36,0.16,30.76,62,0.02,16.13%,61,0.007,14.75%
zoo_96_792,131,82,792,5.953282828,45,33.63,0,,,,45,0.47,0,38,0.29,15.55,54,0.03,16.67%,55,0.012,18.18%
zoo_96_903,163,91,903,5.981173865,54,50.53,0,,,,53,1,1.85,43,0.36,20.37,66,0.05,18.18%,71,0.015,23.94%
zoo_96_1188,135,84,1188,5.89983165,44,70.03,0,,,,43,0.82,2.27,39,0.4,11.36,53,0.04,16.98%,52,0.018,15.38%
zoo_96_1354,143,91,1354,5.894387001,43,128.77,0,,,,43,1.77,0,43,0.46,0,62,0.06,30.65%,58,0.021,25.86%
zoo_96_1355,161,89,1355,6.085608856,48,388.08,0,,,,48,2.36,0,42,0.52,12.5,62,0.08,22.58%,64,0.023,25.00%
zoo_96_1585,144,88,1585,6.280126183,47,143.23,0,,,,47,1.3,0,43,0.61,8.51,57,0.08,17.54%,53,0.028,11.32%
zoo_96_1806,176,95,1806,6.15227021,54,160.11,0,,,,54,3.61,0,47,0.74,12.96,68,0.11,20.59%,68,0.033,20.59%
zoo_96_1807,150,95,1807,6.20641948,47,20.63,0,,,,47,1.43,0,47,0.69,0,58,0.10,18.97%,54,0.032,12.96%
zoo_96_1980,146,90,1980,6.319191919,48,105.87,0,,,,48,1.99,0,45,0.77,6.25,58,0.11,17.24%,55,0.035,12.73%
zoo_96_2256,153,96,2256,6.206560284,48,36.57,0,,,,48,4.02,0,48,0.9,0,59,0.14,18.64%,53,0.038,9.43%
zoo_98_471,178,84,471,3.456475584,70,2.35,0,,,,70,0.25,0,37,0.15,47.14,82,0.02,14.63%,85,0.004,17.65%
zoo_98_942,206,95,942,3.987261146,70,36.78,0,,,,70,0.63,0,46,0.36,34.28,85,0.04,17.65%,95,0.016,26.32%
zoo_98_1412,214,96,1412,4.045325779,73,129.58,0,,,,73,1.69,0,47,0.56,35.61,89,0.06,17.98%,95,0.014,23.16%
zoo_98_1881,216,98,1881,4.180223285,73,330.38,0,,,,73,2.52,0,49,0.77,32.87,88,0.10,17.05%,88,0.019,17.05%
zoo_98_2352,218,98,2352,4.286564626,73,700.84,0,,,,73,3.5,0,49,1,32.87,86,0.15,15.12%,89,0.028,17.98%
zoo_99_491,161,92,491,4.718940937,59,5.01,0,,,,58,0.37,1.69,42,0.16,28.81,71,0.02,16.90%,74,0.019,20.27%
zoo_100_980,169,92,980,5.185714286,52,56.58,0,,,,51,1.09,1.92,43,0.37,17.3,69,0.04,24.64%,69,0.013,24.64%
zoo_100_1470,184,99,1470,5.376190476,57,744.07,0,,,,57,2.42,0,49,0.6,14.03,77,0.08,25.97%,76,0.020,25.00%
zoo_100_1960,183,99,1960,5.271938776,55,3603.06,5.97,,,,55,1.7,0,49,0.88,10.9,73,0.11,24.66%,72,0.029,23.61%
zoo_100_2450,187,100,2450,5.364897959,57,3600.77,10.53,,,,57,4.18,0,50,1.07,12.28,72,0.16,20.83%,70,0.036,18.57%
zoo_101_510,151,87,510,5.252941176,49,47.14,0,,3622.03,6.12,46,0.55,6.12,37,0.18,24.48,62,0.02,20.97%,63,0.007,22.22%
zoo_102_510,141,97,510,3.998039216,69,2.01,0,,,,69,0.23,0,51,0.15,26.08,76,0.02,9.21%,74,0.005,6.76%
zoo_102_1020,174,97,1020,5.57745098,54,144.91,0,,,,52,1.2,3.7,46,0.41,14.81,70,0.06,22.86%,69,0.016,21.74%
zoo_102_1530,172,98,1530,5.822875817,49,571.65,0,,,,49,2.57,0,47,0.61,4.08,67,0.08,26.87%,65,0.022,24.62%
zoo_102_2041,177,102,2041,5.677609015,55,125.71,0,,,,55,1.78,0,51,0.86,7.27,70,0.11,21.43%,70,0.029,21.43%
